family,arm,key,direction,tier,divergence_turn,divergence_kind,position,user_diverged_first,hint_status,adoption,base_funnel_last,arm_funnel_last,labels
strong,nlp_arm1,t2_en_native_004__rep2,lost,2,1,tool_choice,first,False,wrong,ignored,booked,queried,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm1,t3_en_native_054__rep2,lost,3,1,tool_choice,first,False,partial,adopted_day,booked,booking_attempted,never_found_slots
strong,nlp_arm1,t3_en_native_076__rep1,lost,3,1,tool_choice,first,False,wrong,ignored,booked,slots_presented,never_found_slots;closure_lost
strong,nlp_arm1,t4_en_de_013__rep2,lost,4,1,tool_choice,first,False,no_hint,no_hint,booked,queried,degenerate_midconv_hint_followed;never_found_slots
strong,nlp_arm1,t4_en_it_033__rep1,lost,4,1,tool_choice,first,False,no_hint,no_hint,booked,slots_presented,degenerate_midconv_hint_followed;closure_lost
strong,nlp_arm1,t5_en_native_005__rep2,lost,5,1,tool_choice,first,False,partial,adopted_day,booked,slots_presented,never_found_slots;closure_lost
strong,nlp_arm1,t5_en_native_010__rep1,lost,5,1,tool_choice,first,False,wrong,ignored,booked,slots_presented,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm1,t5_en_native_010__rep2,lost,5,1,tool_choice,first,False,wrong,ignored,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm1,t5_en_native_068__rep1,lost,5,1,tool_choice,first,False,wrong,ignored,booked,queried,never_found_slots
strong,nlp_arm1,t6_en_de_018__rep1,lost,6,1,tool_choice,first,False,wrong,adopted_day,booked,user_accepted,wrong_hint_adopted;degenerate_midconv_hint_followed;closure_lost
strong,nlp_arm1,t6_en_de_042__rep1,lost,6,1,tool_choice,first,False,partial,adopted_day,booked,booking_attempted,never_found_slots
strong,nlp_arm1,t1_en_native_014__rep1,gained,1,1,tool_choice,first,False,partial,adopted_day,queried,booked,
strong,nlp_arm1,t1_en_native_031__rep1,gained,1,1,tool_choice,first,False,partial,adopted_day,booking_attempted,booked,
strong,nlp_arm1,t2_en_native_011__rep2,gained,2,2,response_intent,mid_late,True,exact,adopted_window,user_accepted,booked,
strong,nlp_arm1,t2_en_native_029__rep2,gained,2,1,tool_choice,first,False,partial,adopted_window,queried,booked,
strong,nlp_arm1,t3_en_de_075__rep1,gained,3,4,response_intent,mid_late,True,partial,adopted_day,slots_presented,booked,
strong,nlp_arm1,t3_en_native_000__rep2,gained,3,1,tool_choice,first,False,partial,ignored,queried,booked,
strong,nlp_arm1,t3_en_native_054__rep1,gained,3,1,tool_choice,first,False,partial,adopted_day,queried,booked,
strong,nlp_arm1,t4_en_native_044__rep2,gained,4,3,query_window,mid_late,True,wrong,ignored,booking_attempted,booked,
strong,nlp_arm1,t4_en_native_045__rep1,gained,4,1,tool_choice,first,False,wrong,ignored,queried,booked,
strong,nlp_arm1,t5_en_de_058__rep2,gained,5,1,response_intent,first,False,partial,adopted_day,queried,booked,
strong,nlp_arm1,t5_en_native_005__rep1,gained,5,1,query_window,first,False,partial,adopted_window,queried,booked,
strong,nlp_arm1,t6_en_native_045__rep2,gained,6,1,tool_choice,first,False,wrong,ignored,slots_presented,booked,
strong,nlp_arm2,t2_en_native_004__rep1,lost,2,1,tool_choice,first,False,exact,adopted_window,booked,slots_presented,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm2,t2_en_native_004__rep2,lost,2,1,tool_choice,first,False,exact,adopted_window,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm2,t2_en_native_011__rep1,lost,2,1,response_intent,first,False,exact,adopted_window,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
strong,nlp_arm2,t3_en_native_035__rep1,lost,3,1,tool_choice,first,False,partial,adopted_day,booked,slots_presented,never_found_slots;closure_lost
strong,nlp_arm2,t3_en_native_035__rep2,lost,3,3,query_window,mid_late,True,partial,adopted_day,booked,queried,degenerate_midconv_hint_followed;never_found_slots;simulator_path_divergence
strong,nlp_arm2,t3_en_native_054__rep2,lost,3,1,tool_choice,first,False,partial,ignored,booked,slots_presented,degenerate_midconv_hint_followed;never_found_slots;closure_lost
