family,arm,key,direction,tier,divergence_turn,divergence_kind,position,user_diverged_first,hint_status,adoption,base_funnel_last,arm_funnel_last,labels
weak,nlp_arm1,t2_en_de_038__rep1,lost,2,1,tool_choice,first,False,partial,adopted_day,booked,queried,degenerate_midconv_hint_followed;never_found_slots
weak,nlp_arm1,t3_en_fr_022__rep1,lost,3,1,tool_choice,first,False,partial,adopted_day,booked,nonempty_result,uncoded
weak,nlp_arm1,t5_en_de_003__rep1,gained,5,1,tool_choice,first,False,partial,adopted_day,slots_presented,booked,
weak,nlp_arm2,t2_en_de_038__rep1,lost,2,1,tool_choice,first,False,partial,adopted_window,booked,queried,degenerate_midconv_hint_followed;never_found_slots
weak,nlp_arm2,t4_en_native_069__rep1,lost,4,2,query_window,mid_late,True,wrong,ignored,booked,queried,never_found_slots;simulator_path_divergence
weak,nlp_arm3,t2_en_de_038__rep1,lost,2,1,tool_choice,first,False,partial,adopted_window,booked,slots_presented,never_found_slots;closure_lost
weak,nlp_arm3,t3_en_de_037__rep1,lost,3,1,tool_choice,first,False,partial,adopted_window,booked,user_accepted,degenerate_midconv_hint_followed;never_found_slots;closure_lost
weak,nlp_arm3,t3_en_fr_022__rep1,lost,3,1,tool_choice,first,False,exact,adopted_window,booked,user_accepted,never_found_slots;closure_lost
weak,nlp_arm3,t4_en_native_069__rep1,lost,4,2,tool_choice,mid_late,True,wrong,ignored,booked,nonempty_result,degenerate_midconv_hint_followed;simulator_path_divergence
weak,nlp_arm3,t6_en_de_024__rep1,lost,6,1,tool_choice,first,False,wrong,adopted_day,booked,slots_presented,wrong_hint_adopted;degenerate_midconv_hint_followed;closure_lost
weak,nlp_arm3,t1_en_native_066__rep1,gained,1,1,tool_choice,first,False,partial,adopted_day,queried,booked,
weak,nlp_arm3,t2_en_native_046__rep1,gained,2,1,tool_choice,first,False,partial,adopted_day,queried,booked,
weak,nlp_arm3,t5_en_de_003__rep1,gained,5,1,tool_choice,first,False,partial,adopted_window,slots_presented,booked,
