run_id,stage,timestamp,git_commit,change_note,scenario_count,rep_count,booking_completion_rate,median_turns,median_efficiency_ratio,faithful_rate,mean_total_simulated_latency_ms,dead_end_turns_total,judge_mean_temporal,judge_mean_negotiation,judge_mean_efficiency,judge_mean_recovery,judge_mean_customer_experience
20260524_194709__baseline__a00c977__smoke,baseline,2026-05-24T19:47:09.875507+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Step 5: smoke baseline — validate pipeline,14,1,,,,,,,,,,,
20260524_194935__baseline__a00c977__smoke,baseline,2026-05-24T19:49:35.480936+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Step 5: smoke baseline — validate pipeline,14,1,0.0,1.0,,1.0,0.0,,,,,,
20260524_195308__baseline__a00c977__smoke,baseline,2026-05-24T19:53:08.601990+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Step 5: smoke baseline — validate pipeline,14,1,,,,,,,,,,,
20260524_213230__baseline__a00c977__smoke,baseline,2026-05-24T21:32:30.417939+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Step 5: smoke baseline — validate pipeline,14,1,0.0,7.0,3.0,1.0,0.0,,,,,,
20260524_221836__baseline__a00c977__smoke,baseline,2026-05-24T22:18:36.854916+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Fix: date injection in simulator + get_current_datetime MCP tool,14,1,0.21428571428571427,5.5,3.0,0.9285714285714286,0.0,,3.4761904761904763,3.4047619047619047,3.142857142857143,3.5555555555555554,
20260525_122259__baseline__a00c977__smoke,baseline,2026-05-25T12:22:59.411992+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,"Post-fix smoke: latency on, goal-complete tightened, phrase bank cleaned, scenarios regenerated",14,1,0.7142857142857143,4.5,2.416666666666667,1.0,7397.050517478335,41,4.428571428571429,3.4,3.7857142857142856,3.6666666666666665,3.5
20260525_130220__baseline__a00c977__representative,baseline,2026-05-25T13:02:20.300866+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,"First representative baseline — post-fix code, reps=3, latency on",70,3,0.5523809523809524,5.0,2.5,0.9523809523809523,16286.558262620638,675,4.419047619047619,3.2913907284768213,3.447619047619048,3.36144578313253,3.2
20260531_152051__baseline__a00c977__smoke,baseline,2026-05-31T15:20:51.538336+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 1 wiring regression check,14,1,0.42857142857142855,10.5,4.333333333333333,0.9285714285714286,16706.657615423723,81,,,,,
20260531_154252__nlp_arm1__a00c977__smoke,nlp_arm1,2026-05-31T15:42:54.525793+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,spaCy + dateparser wired into annotate node,14,1,0.5714285714285714,5.5,3.75,1.0,6616.579249204123,63,,,,,
20260531_163412__nlp_arm1__a00c977__representative,nlp_arm1,2026-05-31T16:34:13.706613+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 1 representative — spaCy + dateparser wired into annotate node,70,3,0.5333333333333333,6.0,2.5,0.9714285714285714,11540.241851433064,856,4.557142857142857,3.0440251572327046,3.519047619047619,3.4578313253012047,3.216666666666667
20260602_212822__nlp_arm3__a00c977__smoke,nlp_arm3,2026-06-02T21:28:22.541607+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 3 (Gemini JSON) smoke,14,1,0.5714285714285714,5.0,2.5,1.0,6295.417358867876,50,,,,,
20260602_213224__baseline__a00c977__smoke,baseline,2026-06-02T21:32:24.192855+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,"Arm2 slice: coexistence - Option-A fixtures + Arm2 plumbing, NLP flags off",14,1,0.6428571428571429,4.0,2.25,0.9285714285714286,5629.90124484112,25,4.384615384615385,3.7777777777777777,3.923076923076923,3.8333333333333335,3.8181818181818183
20260602_213909__baseline__a00c977__smoke,baseline,2026-06-02T21:39:09.337643+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 3 flags-off coexistence,14,1,0.6428571428571429,4.0,2.0,1.0,10152.708400890177,34,,,,,
20260602_214819__nlp_arm1__a00c977__smoke,nlp_arm1,2026-06-02T21:48:20.755029+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 3 regression: arm1 intact,14,1,0.6428571428571429,4.0,2.0,0.9285714285714286,4559.684062081239,27,,,,,
20260602_215609__nlp_arm2__a00c977__smoke,nlp_arm2,2026-06-02T21:56:09.784338+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm 3 regression: arm2 intact,14,1,0.7142857142857143,5.5,2.5,0.9285714285714286,5324.907123144692,34,,,,,
20260602_214023__nlp_arm1__a00c977__smoke,nlp_arm1,2026-06-02T21:40:24.617314+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm2 slice: Arm 1 regression smoke,14,1,0.42857142857142855,5.0,3.0,0.9285714285714286,153719.2195468166,50,4.5,3.3636363636363638,3.7857142857142856,3.6666666666666665,3.25
20260603_035145__nlp_arm2__a00c977__smoke,nlp_arm2,2026-06-03T03:51:45.627996+00:00,a00c977a6ec14bc68d1b7e38c1047ea7efeaa317,Arm2 slice: Arm 2 local LLM llama-3.2-3b smoke,14,1,0.5,7.0,4.583333333333334,1.0,22797.794972792613,68,4.5,2.5555555555555554,3.2142857142857144,2.5,3.0
20260606_183111__baseline__4510344__canary,baseline,2026-06-06T18:31:11.584997+00:00,4510344fa7f7c909ef816685cfc5b7453b57f509,Phase B all-tiers canary (pre-baseline gate; runaway guard active),21,1,0.38095238095238093,10.0,4.666666666666666,1.0,11338.511523799136,124,,,,,
20260606_193204__baseline__b833dfc__canary,baseline,2026-06-06T19:32:04.696691+00:00,b833dfc3947a00259436e61905c30b2963e7f002,Phase B canary re-run after clock-override fix (b833dfc),21,1,0.6190476190476191,6.0,3.25,1.0,7736.465568740908,90,,,,,
20260606_202154__baseline__e1626fa__canary,baseline,2026-06-06T20:21:54.683433+00:00,e1626fa4f1e33c633e84186a822bc2d5c6e78d0a,Phase B canary re-run after calque fix (e1626fa),21,1,0.6190476190476191,4.0,1.8333333333333335,1.0,15578.47012215953,68,,,,,
20260606_205242__baseline__e1626fa__representative_reduced,baseline,2026-06-06T20:52:42.943650+00:00,e1626fa4f1e33c633e84186a822bc2d5c6e78d0a,"Corrected baseline (reduced profile, 60 scen x reps2); supersedes confounded 2026-05-31 run. Fixes: clock override + next-week calque + runaway guard.",60,2,0.625,5.0,2.3333333333333335,0.95,10072.426924146614,378,4.6,3.3763440860215055,3.725,3.4827586206896552,3.33
20260606_222357__nlp_arm1__e1626fa__representative_reduced,nlp_arm1,2026-06-06T22:23:58.969534+00:00,e1626fa4f1e33c633e84186a822bc2d5c6e78d0a,Arm 1 (spaCy + dateparser) reduced representative vs corrected baseline e1626fa,60,2,0.6333333333333333,5.0,2.3333333333333335,0.9416666666666667,9607.058014339687,375,4.233333333333333,3.142857142857143,3.6,3.4310344827586206,3.32
20260606_234404__nlp_arm3__e1626fa__representative_reduced,nlp_arm3,2026-06-06T23:44:04.436031+00:00,e1626fa4f1e33c633e84186a822bc2d5c6e78d0a,"Arm 3 (Gemini JSON, exact_time guard) reduced representative vs corrected baseline e1626fa",60,2,0.5916666666666667,6.0,2.6666666666666665,0.9416666666666667,15887.57411276658,387,4.583333333333333,3.147727272727273,3.6166666666666667,3.456140350877193,3.36
20260607_014848__nlp_arm2__e1626fa__representative_reduced,nlp_arm2,2026-06-07T01:48:48.418004+00:00,e1626fa4f1e33c633e84186a822bc2d5c6e78d0a,Arm 2 (local Llama-3.2-3B) reduced representative vs corrected baseline e1626fa,60,2,0.5416666666666666,6.0,2.5,0.9583333333333334,23223.303911409304,404,4.433333333333334,2.912087912087912,3.3666666666666667,3.0526315789473686,3.09
20260607_154616__baseline__f4416e8__smoke,baseline,2026-06-07T15:46:16.976499+00:00,f4416e85faa94b53b668192d39c8fcd7802f5c7b,expansion flag OFF coexistence (smoke),14,1,0.6428571428571429,5.0,2.6666666666666665,1.0,6461.8412564845885,29,,,,,
20260607_155818__expansion__f4416e8__smoke,expansion,2026-06-07T15:58:18.839691+00:00,f4416e85faa94b53b668192d39c8fcd7802f5c7b,baseline + executor expansion (NLP off),14,1,0.6428571428571429,3.0,2.25,0.9285714285714286,8494.040188309715,20,,,,,
20260607_162454__expansion__f4416e8__smoke,expansion,2026-06-07T16:24:54.056480+00:00,f4416e85faa94b53b668192d39c8fcd7802f5c7b,expansion bidirectional ladder (cap5) re-confirm,14,1,0.6428571428571429,4.0,3.166666666666667,0.8571428571428571,12166.712755658147,18,,,,,
20260607_164034__expansion__927f9c2__representative_reduced,expansion,2026-06-07T16:40:34.613668+00:00,927f9c27346bb3f6216daf31dfdf09c6e343cd45,"Expansion policy (executor window-expansion, NLP off) vs corrected baseline e1626fa",60,2,0.65,4.0,2.5,0.9166666666666666,13012.353231647223,172,4.441666666666666,3.7888888888888888,3.7583333333333333,3.75,3.71
20260608_214615__nlp_arm3_expansion__4eadd22__smoke,nlp_arm3_expansion,2026-06-08T21:46:15.225337+00:00,4eadd224731d6ca2e14bbdba907c056363f2f4ce,SMOKE: Arm 3 NLP + window-expansion wiring check,14,1,0.7142857142857143,3.0,2.0,1.0,26142.625794018524,13,,,,,
20260608_221848__nlp_arm3_expansion__4eadd22__representative_reduced,nlp_arm3_expansion,2026-06-08T22:18:48.673787+00:00,4eadd224731d6ca2e14bbdba907c056363f2f4ce,Arm 3 NLP (Gemini JSON) + executor expansion vs expansion-only; complementary-vs-redundant,60,2,0.6583333333333333,4.0,2.416666666666667,0.9416666666666667,12040.65445945591,153,4.366666666666666,3.735632183908046,3.716666666666667,3.754385964912281,3.66
20260610_183456__weak_baseline__a368480__smoke,weak_baseline,2026-06-10T18:34:56.966294+00:00,a368480a2c0a6eee13a10a147d2060463a21bf97,"Weak-agent smoke: gemini-2.5-flash-lite, thinking off, NLP off (anchor for weak family)",14,1,0.5,9.5,3.0,1.0,18269.521077150817,48,3.857142857142857,2.6363636363636362,2.642857142857143,2.3333333333333335,2.5
20260610_192943__weak_nlp_arm1__e4073f5__smoke,weak_nlp_arm1,2026-06-10T19:29:44.256209+00:00,e4073f5945cce7c3a614c2b941021c19ad944135,"Weak-agent smoke: Arm 1 NLP (spaCy+dateparser) hints into flash-lite agent, thinking off",14,1,0.42857142857142855,7.5,2.25,1.0,5578.325945951892,42,3.0714285714285716,1.8888888888888888,2.4285714285714284,1.8,2.4166666666666665
